Comment,Designator,Footprint,LCSC
ATmega32U4-MU,U3,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,C112161
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
100nF,"C1,C10,C11,C2,C3,C8",C_0603_1608Metric,C14663
1uF,C5,C_0603_1608Metric,C15849
22pF,"C6,C7",C_0603_1608Metric,C1653
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
10k,"R5,R6",R_0603_1608Metric,C17414
4.7n,C9,C_0805_2012Metric,C1744
22,"R3,R4",R_0603_1608Metric,C17561
10uF,C4,C_0603_1608Metric,C19702
1M,R7,R_0805_2012Metric,C22935
5.1k,"R1,R2",R_0805_2012Metric,C27834
SK6812MINI,D65,SK6812-MINI-E,C524051
~,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D7,D8,D9",D_SOD-123,C64898
500mA,F1,Fuse_1206_3216Metric,C70076
SRV05-4,U1,SOT-23-6,C85364
