Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,-171.9,-84,0,bottom
C2,100nF,C_0603_1608Metric,-168.85,-90.55,0,bottom
C3,100nF,C_0603_1608Metric,-14.125,-55.85,0,bottom
C4,10uF,C_0603_1608Metric,-159.05,-82.85,180,bottom
C5,1uF,C_0603_1608Metric,-167.4,-78.4,90,bottom
C6,22pF,C_0603_1608Metric,-177,-90.4,-90,bottom
C7,22pF,C_0603_1608Metric,-177.75,-88.15,0,bottom
C8,100nF,C_0603_1608Metric,-132.4116,-18.6174,-90,bottom
C9,4.7n,C_0805_2012Metric,-134.7,-4.8,0,bottom
C10,100nF,C_0603_1608Metric,-168.9,-78.25,90,bottom
C11,100nF,C_0603_1608Metric,-158.35,-88.5,180,bottom
D1,~,D_SOD-123,-17.8125,-12.7,90,bottom
D2,~,D_SOD-123,-36.8125,-12.7,90,bottom
D3,~,D_SOD-123,-55.8125,-12.7,90,bottom
D4,~,D_SOD-123,-74.8125,-12.7,90,bottom
D5,~,D_SOD-123,-93.8125,-12.7,90,bottom
D6,~,D_SOD-123,-112.8125,-12.7,90,bottom
D7,~,D_SOD-123,-131.8125,-12.7,90,bottom
D8,~,D_SOD-123,-134.1875,-12.7,90,bottom
D9,~,D_SOD-123,-169.8125,-12.7,90,bottom
D10,~,D_SOD-123,-188.8125,-12.7,90,bottom
D11,~,D_SOD-123,-207.8125,-12.7,90,bottom
D12,~,D_SOD-123,-226.8125,-12.7,90,bottom
D13,~,D_SOD-123,-245.8125,-12.7,90,bottom
D14,~,D_SOD-123,-269.5625,-12.86875,90,bottom
D15,~,D_SOD-123,-22.5625,-31.75,90,bottom
D16,~,D_SOD-123,-46.3125,-31.75,90,bottom
D17,~,D_SOD-123,-65.3125,-31.75,90,bottom
D18,~,D_SOD-123,-84.3125,-31.75,90,bottom
D19,~,D_SOD-123,-103.3125,-31.75,90,bottom
D20,~,D_SOD-123,-122.3125,-31.75,90,bottom
D21,~,D_SOD-123,-141.3125,-31.75,90,bottom
D22,~,D_SOD-123,-160.3125,-31.75,90,bottom
D23,~,D_SOD-123,-179.3125,-31.75,90,bottom
D24,~,D_SOD-123,-198.3125,-31.75,90,bottom
D25,~,D_SOD-123,-217.3125,-31.75,90,bottom
D26,~,D_SOD-123,-236.3125,-31.75,90,bottom
D27,~,D_SOD-123,-255.3125,-31.75,90,bottom
D28,~,D_SOD-123,-279.0625,-31.75,90,bottom
D29,~,D_SOD-123,-24.9375,-50.8,90,bottom
D30,~,D_SOD-123,-51.0625,-50.8,90,bottom
D31,~,D_SOD-123,-70.0625,-50.8,90,bottom
D32,~,D_SOD-123,-89.0625,-50.8,90,bottom
D33,~,D_SOD-123,-108.0625,-50.8,90,bottom
D34,~,D_SOD-123,-127.0625,-50.8,90,bottom
D35,~,D_SOD-123,-146.0625,-50.8,90,bottom
D36,~,D_SOD-123,-165.0625,-50.8,90,bottom
D37,~,D_SOD-123,-184.0625,-50.8,90,bottom
D38,~,D_SOD-123,-203.0625,-50.8,90,bottom
D39,~,D_SOD-123,-222.0625,-50.8,90,bottom
